model,task,category,seed,status,end_state,tool_correctness,budget_respected,trajectory_judge,actual_turns,tool_call_count,error
gpt-oss-120b-cloud,http-fetch-and-extract,http,8,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,multi-db-self-check,multi,1,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,multi-db-self-check,multi,2,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,multi-db-self-check,multi,3,done,1.000,0.000,1.000,,3,2,
gpt-oss-120b-cloud,multi-db-self-check,multi,4,done,1.000,0.000,1.000,,3,2,
gpt-oss-120b-cloud,multi-db-self-check,multi,5,done,1.000,0.000,1.000,,3,2,
gpt-oss-120b-cloud,multi-db-self-check,multi,6,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,multi-db-self-check,multi,7,done,1.000,0.000,1.000,,3,2,
gpt-oss-120b-cloud,multi-db-self-check,multi,8,done,1.000,0.000,1.000,,3,2,
gpt-oss-120b-cloud,multi-words-and-hash,multi,1,done,0.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,multi-words-and-hash,multi,2,done,0.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,multi-words-and-hash,multi,3,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,multi-words-and-hash,multi,4,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,multi-words-and-hash,multi,5,done,0.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,multi-words-and-hash,multi,6,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,multi-words-and-hash,multi,7,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,multi-words-and-hash,multi,8,done,1.000,1.000,1.000,,4,3,
gpt-oss-120b-cloud,shell-count-lines,shell,1,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-count-lines,shell,2,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-count-lines,shell,3,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-count-lines,shell,4,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-count-lines,shell,5,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-count-lines,shell,6,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-count-lines,shell,7,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-count-lines,shell,8,done,1.000,1.000,1.000,,3,2,
gpt-oss-120b-cloud,shell-pipeline-extract,shell,1,done,1.000,1.000,1.000,,3,2,
