cell,fusion,alpha,top_k_stage1,rerank,rerank_model,truncation,mode,final_k,n_queries,recall_at_5,mrr10,ndcg_at_10,gold_in_stage1_pool_frac,errors,wall_sec,rerank_lat_p50_ms,rerank_lat_p95_ms,rerank_lat_mean_ms
B0_alpha_baseline,alpha,0.75,5,0,Qwen/Qwen3-Reranker-0.6B,1500,,5,199,0.7990,0.6920,0.7190,0.7990,0,0.0,0.0,0.0,0.0
Q1_qwen3_1500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,rpc,5,199,0.8492,0.6914,0.7313,0.8995,0,131.1,686.4,1051.1,658.7
Q2_qwen3_2500c,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,2500,rpc,5,199,0.8543,0.6982,0.7376,0.8995,0,167.2,896.0,1264.0,840.1
Q3_qwen3_notrunc,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,0,rpc,5,199,0.5427,0.4579,0.4793,0.8995,77,143.1,619.8,1439.8,718.8
Q4_qwen3_1500c_inproc,alpha,0.75,50,1,Qwen/Qwen3-Reranker-0.6B,1500,inproc,5,199,0.8492,0.6914,0.7313,0.8995,0,134.8,685.6,1046.2,677.5
B1_bge_1500c_inproc,alpha,0.75,50,1,BAAI/bge-reranker-v2-m3,1500,inproc,5,199,0.8241,0.6717,0.7101,0.8995,0,184.7,1040.6,1497.9,928.0
